GeneID	Chr	Start	End	Strand	class	in_gff	source
MABt5001	NC_010397.1	21909	21985	+	tRNA	yes	GFF gene_biotype
MABt5002	NC_010397.1	22112	22187	+	tRNA	yes	GFF gene_biotype
MABt5003	NC_010397.1	39915	40000	+	tRNA	yes	GFF gene_biotype
MABt5004	NC_010397.1	219060	219146	+	tRNA	yes	GFF gene_biotype
MABt5005	NC_010397.1	233341	233429	+	tRNA	yes	GFF gene_biotype
MABt5006	NC_010397.1	233478	233553	+	tRNA	yes	GFF gene_biotype
MABt5007	NC_010397.1	270327	270417	+	tRNA	yes	GFF gene_biotype
MABt5008c	NC_010397.1	282787	282875	-	tRNA	yes	GFF gene_biotype
MABt5009c	NC_010397.1	406553	406626	-	tRNA	yes	GFF gene_biotype
MABt5010	NC_010397.1	490891	490966	+	tRNA	yes	GFF gene_biotype
MABt5011	NC_010397.1	674808	674882	+	tRNA	yes	GFF gene_biotype
MABt5012c	NC_010397.1	779016	779091	-	tRNA	yes	GFF gene_biotype
MABt5013	NC_010397.1	779231	779303	+	tRNA	yes	GFF gene_biotype
MABt5014	NC_010397.1	779333	779409	+	tRNA	yes	GFF gene_biotype
MABt5015	NC_010397.1	779446	779522	+	tRNA	yes	GFF gene_biotype
MABt5016c	NC_010397.1	1031175	1031247	-	tRNA	yes	GFF gene_biotype
MABt5017	NC_010397.1	1102677	1102752	+	tRNA	yes	GFF gene_biotype
MABt5018c	NC_010397.1	1164652	1164723	-	tRNA	yes	GFF gene_biotype
MABt5019	NC_010397.1	1191270	1191343	+	tRNA	yes	GFF gene_biotype
MABt5020c	NC_010397.1	1436630	1436702	-	tRNA	yes	GFF gene_biotype
MABr5051	NC_010397.1	1462398	1463901	+	rRNA	yes	GFF gene_biotype
MABr5052	NC_010397.1	1464208	1467319	+	rRNA	yes	GFF gene_biotype
MABr5053	NC_010397.1	1467403	1467518	+	rRNA	yes	GFF gene_biotype
MABt5021	NC_010397.1	1498379	1498465	+	tRNA	yes	GFF gene_biotype
MABt5022c	NC_010397.1	1550158	1550233	-	tRNA	yes	GFF gene_biotype
MABt5023c	NC_010397.1	1553091	1553166	-	tRNA	yes	GFF gene_biotype
MABt5024c	NC_010397.1	1582499	1582572	-	tRNA	yes	GFF gene_biotype
MABt5025c	NC_010397.1	1609289	1609362	-	tRNA	yes	GFF gene_biotype
MABt5026	NC_010397.1	1609541	1609614	+	tRNA	yes	GFF gene_biotype
MABt5027	NC_010397.1	1739346	1739421	+	tRNA	yes	GFF gene_biotype
MABt5028	NC_010397.1	1816128	1816201	+	tRNA	yes	GFF gene_biotype
MABt5029	NC_010397.1	1885724	1885798	+	tRNA	yes	GFF gene_biotype
MABt5030c	NC_010397.1	2089030	2089109	-	tRNA	yes	GFF gene_biotype
MABt5031c	NC_010397.1	2102927	2103012	-	tRNA	yes	GFF gene_biotype
MABt5032	NC_010397.1	2380212	2380285	+	tRNA	yes	GFF gene_biotype
MABt5033	NC_010397.1	2431252	2431328	+	tRNA	yes	GFF gene_biotype
MABt5034	NC_010397.1	2668698	2668774	+	tRNA	yes	GFF gene_biotype
MABt5035c	NC_010397.1	2975227	2975298	-	tRNA	yes	GFF gene_biotype
MABt5036	NC_010397.1	2975446	2975521	+	tRNA	yes	GFF gene_biotype
MABt5037	NC_010397.1	2975544	2975617	+	tRNA	yes	GFF gene_biotype
MABt5038	NC_010397.1	2975628	2975702	+	tRNA	yes	GFF gene_biotype
MABt5039c	NC_010397.1	3335738	3335813	-	tRNA	yes	GFF gene_biotype
MABt5040c	NC_010397.1	3335910	3335981	-	tRNA	yes	GFF gene_biotype
MABt5041c	NC_010397.1	3491834	3491909	-	tRNA	yes	GFF gene_biotype
MABt5042c	NC_010397.1	3537996	3538072	-	tRNA	yes	GFF gene_biotype
MABt5043c	NC_010397.1	3948844	3948919	-	tRNA	yes	GFF gene_biotype
MABt5044c	NC_010397.1	3950749	3950825	-	tRNA	yes	GFF gene_biotype
MABt5045c	NC_010397.1	3950864	3950936	-	tRNA	yes	GFF gene_biotype
MABt5046c	NC_010397.1	3965419	3965501	-	tRNA	yes	GFF gene_biotype
MABt5047	NC_010397.1	4394540	4394613	+	tRNA	yes	GFF gene_biotype
MABnc_rnpB	NC_010397.1	1909668	1910072	+	RNase_P_RNA	no	Rfam RF00010 cmscan GA score 298.4
MABnc_ms1	NC_010397.1	431917	432215	-	Ms1_RNA	no	Rfam RF02566 cmscan GA score 230.4
MABnc_ssrA	NC_010397.1	3513404	3513772	-	tmRNA	no	Rfam RF00023 cmscan GA score 142.4; Aragorn -m 3513406-3513772
MABnc_ffs	NC_010397.1	306563	306657	+	SRP_RNA	no	Rfam RF00169 cmscan GA score 65.3
